# tpr, fnr, fpr
2.127161728106187754e-05,1.000000000000000000e+00,0.000000000000000000e+00
8.083214566803513870e-04,1.000000000000000000e+00,0.000000000000000000e+00
8.083214566803513870e-04,9.999760702577232818e-01,2.392974227667567927e-05
3.446001999532024608e-03,9.999760702577232818e-01,2.392974227667567927e-05
3.488545234094148160e-03,9.999760702577232818e-01,2.392974227667567927e-05
6.019867690540511851e-03,9.999760702577232818e-01,2.392974227667567927e-05
6.019867690540511851e-03,9.999521405154466747e-01,4.785948455335135854e-05
6.679287826253430156e-03,9.999521405154466747e-01,4.785948455335135854e-05
6.679287826253430156e-03,9.999282107731699565e-01,7.178922683002703781e-05
7.700325455744400603e-03,9.999282107731699565e-01,7.178922683002703781e-05
7.700325455744400603e-03,9.999042810308933493e-01,9.571896910670271708e-05
8.997894109889175221e-03,9.999042810308933493e-01,9.571896910670271708e-05
9.040437344451299206e-03,9.999042810308933493e-01,9.571896910670271708e-05
1.106124098615217724e-02,9.999042810308933493e-01,9.571896910670271708e-05
1.106124098615217724e-02,9.998803512886166311e-01,1.196487113833783963e-04
1.542192252876986233e-02,9.998803512886166311e-01,1.196487113833783963e-04
1.542192252876986233e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.559209546701835654e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.563463870158048052e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.642168854097977165e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.646423177554189390e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.742145455318967751e-02,9.998564215463399130e-01,1.435784536600540756e-04
1.742145455318967751e-02,9.998324918040633058e-01,1.675081959367297549e-04
1.778307204696773225e-02,9.998324918040633058e-01,1.675081959367297549e-04
1.778307204696773225e-02,9.998085620617865876e-01,1.914379382134054342e-04
1.946352981217161840e-02,9.998085620617865876e-01,1.914379382134054342e-04
1.946352981217161840e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.273935887345514967e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.278190210801727192e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.299461828082789011e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.303716151539001583e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.395184105847567718e-02,9.997846323195098694e-01,2.153676804900811134e-04
2.395184105847567718e-02,9.997607025772332623e-01,2.392974227667567927e-04
2.407947076216204740e-02,9.997607025772332623e-01,2.392974227667567927e-04
2.407947076216204740e-02,9.997367728349565441e-01,2.632271650434324720e-04
2.437727340409691357e-02,9.997367728349565441e-01,2.632271650434324720e-04
2.437727340409691357e-02,9.997128430926799370e-01,2.871569073201081512e-04
2.480270574971814995e-02,9.997128430926799370e-01,2.871569073201081512e-04
2.480270574971814995e-02,9.996889133504032188e-01,3.110866495967838305e-04
2.565357044096062619e-02,9.996889133504032188e-01,3.110866495967838305e-04
2.565357044096062619e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.601518793473867747e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.605773116930080319e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.658952160132735040e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.663206483588947265e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.756801599625619686e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.761055923081831912e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.984407904532981534e-02,9.996649836081265006e-01,3.350163918734595098e-04
2.988662227989194106e-02,9.996649836081265006e-01,3.350163918734595098e-04
